No,자료시점,분류,분류,분류,분류,발생,발생,검거(건),검거(건),검거(계)(명),검거(계)(명),검거(계)(명),검거(계)(명),법인
186,2017년,형법범,재산범죄,절도,절도,"176,994",344.60,"107,802",60.90714939,"102,668","77,177","25,024",467,12
187,2017년,형법범,재산범죄,절도,침입절도,"6,813",13.26,"6,011",88.22838691,"3,314","3,095",216,3,0
188,2017년,형법범,재산범죄,사기,사기의 소계[입력치],"241,642",470.47,"190,260",78.7363124,"223,122","170,981","48,496","3,645",873
189,2017년,형법범,재산범죄,사기,보험사기방지특별법,"1,234",2.40,"1,198",97.08265802,"2,627","1,839",786,2,0
190,2017년,형법범,재산범죄,사기,부당이득,59,0.11,34,57.62711864,74,50,19,5,1
191,2017년,형법범,재산범죄,사기,사기,"233,203",454.04,"185,556",79.56844466,"216,280","165,912","46,783","3,585",842
192,2017년,형법범,재산범죄,사기,전기통신금융사기피해금환급에관한특별법,"2,348",4.57,"1,239",52.76831346,"1,385",992,380,13,2
193,2017년,형법범,재산범죄,사기,컴퓨터등사용사기,"4,085",7.95,"1,703",41.68910649,"2,089","1,651",412,26,6
194,2017년,형법범,재산범죄,사기,편의시설부정이용,713,1.39,530,74.33380084,667,537,116,14,22
195,2017년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],강력범죄(흉악)의 계[입력치],"36,030",70.15,"34,651",96.17263392,"36,583","35,071","1,333",179,4
196,2017년,형법범,강력범죄(흉악),살인,살인의 소계[입력치],858,1.67,847,98.71794872,986,788,141,57,0
197,2017년,형법범,강력범죄(흉악),살인,살인(기수),287,0.56,286,99.65156794,335,263,63,9,0
198,2017년,형법범,강력범죄(흉악),살인,"살인(미수, 예비, 음모, 방조)",571,1.11,561,98.24868651,651,525,78,48,0
199,2017년,형법범,강력범죄(흉악),강도,강도의 소계[입력치],990,1.93,993,100.3030303,"1,497","1,333",145,19,0
200,2017년,형법범,강력범죄(흉악),강도,강도,623,1.21,627,100.6420546,848,761,81,6,0
201,2017년,형법범,강력범죄(흉악),강도,강도강간/강제추행,19,0.04,21,110.5263158,21,19,0,2,0
202,2017년,형법범,강력범죄(흉악),강도,강도살인,26,0.05,26,100,31,27,4,0,0
203,2017년,형법범,강력범죄(흉악),강도,강도상해,303,0.59,302,99.669967,571,501,59,11,0
204,2017년,형법범,강력범죄(흉악),강도,강도치사,0,0.00,0,0,0,0,0,0,0
205,2017년,형법범,강력범죄(흉악),강도,강도치상,19,0.04,17,89.47368421,26,25,1,0,0
206,2017년,형법범,강력범죄(흉악),방화,방화의 소계[입력치],"1,358",2.64,"1,226",90.27982327,"1,263","1,045",218,0,0
207,2017년,형법범,강력범죄(흉악),방화,방화치사,12,0.02,10,83.33333333,13,11,2,0,0
208,2017년,형법범,강력범죄(흉악),방화,방화치상,22,0.04,20,90.90909091,24,20,4,0,0
209,2017년,형법범,강력범죄(흉악),방화,일반방화,"1,324",2.58,"1,196",90.33232628,"1,226","1,014",212,0,0
210,2017년,형법범,강력범죄(흉악),성폭력,성폭력의 소계[입력치],"32,824",63.91,"31,585",96.22532293,"32,837","31,905",829,103,4
211,2017년,형법범,강력범죄(흉악),성폭력,간음,268,0.52,265,98.88059701,327,320,6,1,0
212,2017년,형법범,강력범죄(흉악),성폭력,강간,"5,287",10.29,"5,181",97.99508228,"5,975","5,883",79,13,0
213,2017년,형법범,강력범죄(흉악),성폭력,"강간등(강간,준강간,간음,강제추행,준강제추행)",144,0.28,141,97.91666667,187,184,3,0,0
214,2017년,형법범,강력범죄(흉악),성폭력,강간등살인,7,0.01,7,100,7,7,0,0,0
215,2017년,형법범,강력범죄(흉악),성폭력,강간등상해,223,0.43,217,97.30941704,225,222,3,0,0
216,2017년,형법범,강력범죄(흉악),성폭력,강간등치사,0,0.00,0,0,0,0,0,0,0
217,2017년,형법범,강력범죄(흉악),성폭력,강간등치상,493,0.96,486,98.5801217,526,517,9,0,0
218,2017년,형법범,강력범죄(흉악),성폭력,강제추행,"15,981",31.11,"15,389",96.29560103,"16,414","15,911",474,29,3
219,2017년,형법범,강력범죄(흉악),성폭력,공중밀집장소 추행,"2,085",4.06,"1,936",92.85371703,"1,968","1,954",12,2,0
220,2017년,형법범,강력범죄(흉악),성폭력,성적목적의 장소침입,422,0.82,404,95.73459716,401,397,4,0,0
221,2017년,형법범,강력범죄(흉악),성폭력,카메라등 이용촬영,"6,615",12.88,"6,366",96.23582766,"5,507","5,291",167,49,1
222,2017년,형법범,강력범죄(흉악),성폭력,통신매체 이용음란,"1,265",2.46,"1,155",91.30434783,"1,257","1,176",72,9,0
223,2017년,형법범,강력범죄(흉악),성폭력,특수강도강간등,34,0.07,38,111.7647059,43,43,0,0,0
224,2017년,형법범,강력범죄(폭력),폭행,폭행의 소계[입력치],"165,498",322.22,"157,449",95.13649712,"228,999","188,026","39,514","1,459",9
225,2017년,형법범,강력범죄(폭력),폭행,폭행,"163,858",319.03,"155,857",95.1171136,"226,871","186,274","39,144","1,453",9
226,2017년,형법범,강력범죄(폭력),폭행,폭행치사,61,0.12,60,98.36065574,70,54,14,2,0
227,2017년,형법범,강력범죄(폭력),폭행,폭행치상,"1,579",3.07,"1,532",97.02343255,"2,058","1,698",356,4,0
228,2017년,형법범,강력범죄(폭력),상해,상해의 소계[입력치],"49,376",96.13,"48,031",97.27600454,"74,115","61,530","12,278",307,12
229,2017년,형법범,강력범죄(폭력),상해,상해,"49,311",96.01,"47,967",97.27444181,"74,026","61,452","12,267",307,12
230,2017년,형법범,강력범죄(폭력),상해,상해치사,65,0.13,64,98.46153846,89,78,11,0,0
231,2017년,형법범,강력범죄(폭력),약취와 유인,악취와 유인의 소계[입력치],216,0.42,199,92.12962963,299,209,86,4,1
232,2017년,형법범,강력범죄(폭력),약취와 유인,국외이송,0,0.00,0,0,0,0,0,0,0
233,2017년,형법범,강력범죄(폭력),약취와 유인,부녀매매,0,0.00,0,0,0,0,0,0,0
234,2017년,형법범,강력범죄(폭력),약취와 유인,수수/은닉,0,0.00,0,0,1,1,0,0,0
235,2017년,형법범,강력범죄(폭력),약취와 유인,약취/유인,213,0.41,196,92.01877934,291,201,86,4,1
236,2017년,형법범,강력범죄(폭력),약취와 유인,"약취와유인상해,치상,살인,치사",0,0.00,0,0,0,0,0,0,0
237,2017년,형법범,강력범죄(폭력),약취와 유인,인신매매,3,0.01,3,100,7,7,0,0,0
238,2017년,형법범,강력범죄(폭력),체포와 감금,체포와 감금의 소계[입력치],"1,728",3.36,"1,643",95.08101852,"2,771","2,185",519,67,1
239,2017년,형법범,강력범죄(폭력),체포와 감금,감금,"1,547",3.01,"1,470",95.02262443,"2,459","1,933",471,55,1
240,2017년,형법범,강력범죄(폭력),체포와 감금,감금치사,1,0.00,1,100,1,1,0,0,0
241,2017년,형법범,강력범죄(폭력),체포와 감금,감금치상,121,0.24,123,101.6528926,172,141,31,0,0
242,2017년,형법범,강력범죄(폭력),체포와 감금,체포,56,0.11,45,80.35714286,118,92,14,12,0
243,2017년,형법범,강력범죄(폭력),체포와 감금,체포치사,0,0.00,0,0,0,0,0,0,0
244,2017년,형법범,강력범죄(폭력),체포와 감금,체포치상,3,0.01,4,133.3333333,21,18,3,0,0
245,2018년,형법범,재산범죄,절도,절도의 소계[입력치],"177,458",343.87,"107,208",60.41316819,"98,305","73,632","24,190",483,10
246,2018년,형법범,재산범죄,절도,불법사용,586,1.14,456,77.81569966,669,629,37,3,0
247,2018년,형법범,재산범죄,절도,절도,"170,757",330.88,"101,365",59.3621345,"94,608","70,198","23,938",472,10
248,2018년,형법범,재산범죄,절도,침입절도,"6,115",11.85,"5,387",88.09484873,"3,028","2,805",215,8,0
249,2018년,형법범,재산범죄,사기,사기의 소계[입력치],"278,566",539.79,"207,927",74.6419161,"242,658","183,368","55,168","4,122",791
250,2018년,형법범,재산범죄,사기,보험사기방지특별법,"2,588",5.01,"2,526",97.60432767,"7,147","4,459","2,687",1,1
251,2018년,형법범,재산범죄,사기,부당이득,71,0.14,53,74.64788732,83,52,22,9,2
252,2018년,형법범,재산범죄,사기,사기,"271,139",525.40,"202,172",74.56396903,"232,024","176,239","51,716","4,069",777
253,2018년,형법범,재산범죄,사기,전기통신금융사기피해금환급에관한특별법,"1,479",2.87,961,64.97633536,997,675,310,12,0
254,2018년,형법범,재산범죄,사기,컴퓨터등사용사기,"2,468",4.78,"1,560",63.20907618,"1,600","1,268",309,23,3
255,2018년,형법범,재산범죄,사기,편의시설부정이용,821,1.59,655,79.78075518,807,675,124,8,8
256,2018년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],강력범죄(흉악)의 계[입력치],"35,272",68.35,"33,694",95.52619642,"36,641","34,659","1,486",496,0
257,2018년,형법범,강력범죄(흉악),살인,살인의 소계[입력치],849,1.65,808,95.17078916,"1,095",731,159,205,0
258,2018년,형법범,강력범죄(흉악),살인,살인(기수),326,0.63,307,94.17177914,426,286,70,70,0
259,2018년,형법범,강력범죄(흉악),살인,"살인(미수, 예비, 음모, 방조)",523,1.01,501,95.79349904,669,445,89,135,0
260,2018년,형법범,강력범죄(흉악),강도,강도의 소계[입력치],841,1.63,830,98.69203329,"1,320","1,054",132,134,0
261,2018년,형법범,강력범죄(흉악),강도,강도,537,1.04,528,98.32402235,756,628,86,42,0
262,2018년,형법범,강력범죄(흉악),강도,강도강간/강제추행,24,0.05,26,108.3333333,17,17,0,0,0
263,2018년,형법범,강력범죄(흉악),강도,강도살인,19,0.04,18,94.73684211,25,22,3,0,0
264,2018년,형법범,강력범죄(흉악),강도,강도상해,240,0.47,236,98.33333333,487,355,40,92,0
265,2018년,형법범,강력범죄(흉악),강도,강도치사,1,0.00,1,100,6,6,0,0,0
266,2018년,형법범,강력범죄(흉악),강도,강도치상,20,0.04,21,105,29,26,3,0,0
267,2018년,형법범,강력범죄(흉악),방화,방화의 소계[입력치],"1,478",2.86,"1,350",91.33964817,"1,368","1,137",223,8,0
268,2018년,형법범,강력범죄(흉악),방화,방화치사,16,0.03,13,81.25,16,12,4,0,0
269,2018년,형법범,강력범죄(흉악),방화,방화치상,19,0.04,17,89.47368421,19,18,1,0,0
270,2018년,형법범,강력범죄(흉악),방화,일반방화,"1,443",2.80,"1,320",91.47609148,"1,333","1,107",218,8,0
271,2018년,형법범,강력범죄(흉악),성폭력,성폭력의 소계[입력치],"32,104",62.21,"30,706",95.64540244,"32,858","31,737",972,149,0
272,2018년,형법범,강력범죄(흉악),성폭력,간음,318,0.62,309,97.16981132,372,358,11,3,0
273,2018년,형법범,강력범죄(흉악),성폭력,강간,"5,508",10.67,"5,397",97.98474946,"6,181","6,030",102,49,0
274,2018년,형법범,강력범죄(흉악),성폭력,"강간등(강간,준강간,간음,강제추행,준강제추행)",182,0.35,183,100.5494505,271,262,8,1,0
275,2018년,형법범,강력범죄(흉악),성폭력,강간등살인,4,0.01,5,125,6,6,0,0,0
276,2018년,형법범,강력범죄(흉악),성폭력,강간등상해,214,0.41,213,99.53271028,220,219,1,0,0
277,2018년,형법범,강력범죄(흉악),성폭력,강간등치사,4,0.01,4,100,5,5,0,0,0
278,2018년,형법범,강력범죄(흉악),성폭력,강간등치상,441,0.85,432,97.95918367,471,466,4,1,0
279,2018년,형법범,강력범죄(흉악),성폭력,강제추행,"15,672",30.37,"15,068",96.14599285,"16,354","15,734",564,56,0
280,2018년,형법범,강력범죄(흉악),성폭력,공중밀집장소 추행,"1,609",3.12,"1,468",91.23679304,"1,504","1,492",7,5,0
281,2018년,형법범,강력범죄(흉악),성폭력,성적목적의 장소침입,646,1.25,588,91.02167183,607,599,7,1,0
282,2018년,형법범,강력범죄(흉악),성폭력,카메라등 이용촬영,"6,085",11.79,"5,764",94.72473295,"5,414","5,203",188,23,0
283,2018년,형법범,강력범죄(흉악),성폭력,통신매체 이용음란,"1,378",2.67,"1,230",89.25979681,"1,408","1,319",80,9,0
284,2018년,형법범,강력범죄(흉악),성폭력,특수강도강간등,43,0.08,45,104.6511628,45,44,0,1,0
285,2018년,형법범,강력범죄(폭력),폭행,폭행의 소계[입력치],"164,500",318.76,"156,169",94.93556231,"221,369","180,870","39,049","1,450",8
286,2018년,형법범,강력범죄(폭력),폭행,폭행,"162,787",315.44,"154,495",94.90622716,"219,137","179,021","38,671","1,445",8
287,2018년,형법범,강력범죄(폭력),폭행,폭행치사,67,0.13,67,100,86,67,19,0,0
288,2018년,형법범,강력범죄(폭력),폭행,폭행치상,"1,646",3.19,"1,607",97.63061968,"2,146","1,782",359,5,0
289,2018년,형법범,강력범죄(폭력),상해,상해의 소계[입력치],"43,666",84.61,"42,447",97.20835433,"65,210","54,000","10,923",287,9
290,2018년,형법범,강력범죄(폭력),상해,상해,"43,604",84.49,"42,385",97.20438492,"65,129","53,930","10,913",286,9
291,2018년,형법범,강력범죄(폭력),상해,상해치사,62,0.12,62,100,81,70,10,1,0
292,2018년,형법범,강력범죄(폭력),약취와 유인,악취와 유인의 소계[입력치],199,0.39,174,87.43718593,268,178,85,5,0
293,2018년,형법범,강력범죄(폭력),약취와 유인,국외이송,1,0.00,1,100,0,0,0,0,0
294,2018년,형법범,강력범죄(폭력),약취와 유인,부녀매매,0,0.00,0,0,0,0,0,0,0
295,2018년,형법범,강력범죄(폭력),약취와 유인,수수/은닉,0,0.00,0,0,0,0,0,0,0
296,2018년,형법범,강력범죄(폭력),약취와 유인,약취/유인,191,0.37,170,89.0052356,263,173,85,5,0
297,2018년,형법범,강력범죄(폭력),약취와 유인,"약취와유인상해,치상,살인,치사",2,0.00,1,50,1,1,0,0,0
298,2018년,형법범,강력범죄(폭력),약취와 유인,인신매매,5,0.01,2,40,4,4,0,0,0
299,2018년,형법범,강력범죄(폭력),체포와 감금,체포와 감금의 소계[입력치],"1,494",2.89,"1,387",92.83801874,"2,495","1,929",476,90,0
300,2018년,형법범,강력범죄(폭력),체포와 감금,감금,"1,345",2.61,"1,255",93.30855019,"2,242","1,748",419,75,0
301,2018년,형법범,강력범죄(폭력),체포와 감금,감금치사,2,0.00,1,50,7,6,0,1,0
302,2018년,형법범,강력범죄(폭력),체포와 감금,감금치상,88,0.17,83,94.31818182,143,106,35,2,0
303,2018년,형법범,강력범죄(폭력),체포와 감금,체포,51,0.10,41,80.39215686,90,62,20,8,0
304,2018년,형법범,강력범죄(폭력),체포와 감금,체포치사,0,0.00,0,0,0,0,0,0,0
305,2018년,형법범,강력범죄(폭력),체포와 감금,체포치상,8,0.02,7,87.5,13,7,2,4,0
306,2019년,형법범,재산범죄,절도,절도의 소계[입력치],"187,629",362.85,"114,203",60.86639,"102,464","75,383","26,432",649,10
307,2019년,형법범,재산범죄,절도,불법사용,661,1.28,510,77.15582,792,726,63,3,0
308,2019년,형법범,재산범죄,절도,절도,"180,501",349.07,"108,011",59.83956,"98,668","71,852","26,173",643,10
309,2019년,형법범,재산범죄,절도,침입절도,"6,467",12.51,"5,682",87.86145,"3,004","2,805",196,3,0
310,2019년,형법범,재산범죄,사기,사기의 소계[입력치],"313,593",606.46,"230,612",73.53863,"260,828","196,330","60,096","4,402",846
311,2019년,형법범,재산범죄,사기,보험사기방지특별법,"3,205",6.20,"3,113",97.12949,"9,734","6,524","3,207",3,3
312,2019년,형법범,재산범죄,사기,부당이득,76,0.15,51,67.10526,85,58,20,7,0
313,2019년,형법범,재산범죄,사기,사기,"305,095",590.02,"224,228",73.49449,"246,950","186,569","56,116","4,265",824
314,2019년,형법범,재산범죄,사기,전기통신금융사기피해금환급에관한특별법,990,1.91,558,56.36364,723,516,202,5,0
315,2019년,형법범,재산범죄,사기,컴퓨터등사용사기,"3,002",5.81,"1,693",56.39574,"2,156","1,688",365,103,7
316,2019년,형법범,재산범죄,사기,편의시설부정이용,"1,225",2.37,969,79.10204,"1,180",975,186,19,12
317,2019년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],강력범죄(흉악)의 계[입력치],"35,066",67.81,"33,437",95.35447,"37,390","35,315","1,688",387,12
318,2019년,형법범,강력범죄(흉악),살인,살인의 소계[입력치],847,1.64,823,97.16647,"1,050",759,155,136,10
319,2019년,형법범,강력범죄(흉악),살인,살인(기수),323,0.62,315,97.52322,466,289,84,93,0
320,2019년,형법범,강력범죄(흉악),살인,"살인(미수, 예비, 음모, 방조)",524,1.01,508,96.94656,584,470,71,43,10
321,2019년,형법범,강력범죄(흉악),강도,강도의 소계[입력치],845,1.63,843,99.76331,"1,495","1,221",168,106,0
322,2019년,형법범,강력범죄(흉악),강도,강도,566,1.09,563,99.46996,858,706,87,65,0
323,2019년,형법범,강력범죄(흉악),강도,강도강간/강제추행,10,0.02,11,110,12,11,0,1,0
324,2019년,형법범,강력범죄(흉악),강도,강도살인,22,0.04,22,100,26,25,1,0,0
325,2019년,형법범,강력범죄(흉악),강도,강도상해,228,0.44,228,100,563,447,76,40,0
326,2019년,형법범,강력범죄(흉악),강도,강도치사,0,0.00,0,0,0,0,0,0,0
327,2019년,형법범,강력범죄(흉악),강도,강도치상,19,0.04,19,100,36,32,4,0,0
328,2019년,형법범,강력범죄(흉악),방화,방화의 소계[입력치],"1,345",2.60,"1,221",90.78067,"1,294","1,079",211,4,0
329,2019년,형법범,강력범죄(흉악),방화,방화치사,13,0.03,12,92.30769,17,14,3,0,0
330,2019년,형법범,강력범죄(흉악),방화,방화치상,32,0.06,32,100,32,23,9,0,0
331,2019년,형법범,강력범죄(흉악),방화,일반방화,"1,300",2.51,"1,177",90.53846,"1,245","1,042",199,4,0
332,2019년,형법범,강력범죄(흉악),성폭력,성폭력의 소계[입력치],"32,029",61.94,"30,550",95.38231,"33,551","32,256","1,154",141,2
333,2019년,형법범,강력범죄(흉악),성폭력,간음,251,0.49,252,100.39841,315,312,2,1,0
334,2019년,형법범,강력범죄(흉악),성폭력,강간,"5,594",10.82,"5,458",97.56882,"6,490","6,342",115,33,0
335,2019년,형법범,강력범죄(흉악),성폭력,"강간등(강간,준강간,간음,강제추행,준강제추행)",157,0.30,158,100.63694,293,284,9,0,0
336,2019년,형법범,강력범죄(흉악),성폭력,강간등살인,2,0.00,2,100,2,2,0,0,0
337,2019년,형법범,강력범죄(흉악),성폭력,강간등상해,200,0.39,199,99.5,206,205,1,0,0
338,2019년,형법범,강력범죄(흉악),성폭력,강간등치사,0,0.00,0,0,1,1,0,0,0
339,2019년,형법범,강력범죄(흉악),성폭력,강간등치상,453,0.88,442,97.57174,516,494,19,3,0
340,2019년,형법범,강력범죄(흉악),성폭력,강제추행,"15,766",30.49,"15,191",96.35291,"16,680","15,989",638,53,2
341,2019년,형법범,강력범죄(흉악),성폭력,공중밀집장소 추행,"1,532",2.96,"1,353",88.31593,"1,393","1,376",14,3,0
342,2019년,형법범,강력범죄(흉악),성폭력,성적목적의 장소침입,685,1.32,646,94.30657,719,709,10,0,0
343,2019년,형법범,강력범죄(흉악),성폭력,카메라등 이용촬영,"5,893",11.40,"5,569",94.50195,"5,490","5,185",269,36,0
344,2019년,형법범,강력범죄(흉악),성폭력,통신매체 이용음란,"1,454",2.81,"1,238",85.14443,"1,399","1,311",76,12,0
345,2019년,형법범,강력범죄(흉악),성폭력,특수강도강간등,42,0.08,42,100,47,46,1,0,0
346,2019년,형법범,강력범죄(폭력),폭행,폭행의 소계[입력치],"161,915",313.13,"153,802",94.98935,"217,391","175,399","40,736","1,256",4
347,2019년,형법범,강력범죄(폭력),폭행,폭행,"160,181",309.77,"152,107",94.95945,"215,106","173,545","40,320","1,241",4
348,2019년,형법범,강력범죄(폭력),폭행,폭행치사,72,0.14,73,101.38889,98,65,27,6,0
349,2019년,형법범,강력범죄(폭력),폭행,폭행치상,"1,662",3.21,"1,622",97.59326,"2,187","1,789",389,9,0
350,2019년,형법범,강력범죄(폭력),상해,상해의 소계[입력치],"40,306",77.95,"39,275",97.44207,"59,687","48,952","10,497",238,4
351,2019년,형법범,강력범죄(폭력),상해,상해,"40,246",77.83,"39,214",97.43577,"59,620","48,896","10,486",238,4
352,2019년,형법범,강력범죄(폭력),상해,상해치사,60,0.12,61,101.66667,67,56,11,0,0
353,2019년,형법범,강력범죄(폭력),약취와 유인,악취와 유인의 소계[입력치],260,0.50,232,89.23077,368,245,118,5,0
354,2019년,형법범,강력범죄(폭력),약취와 유인,국외이송,1,0.00,1,100,1,1,0,0,0
355,2019년,형법범,강력범죄(폭력),약취와 유인,부녀매매,1,0.00,1,100,1,0,1,0,0
356,2019년,형법범,강력범죄(폭력),약취와 유인,수수/은닉,0,0.00,0,0,2,2,0,0,0
357,2019년,형법범,강력범죄(폭력),약취와 유인,약취/유인,253,0.49,226,89.32806,337,227,107,3,0
358,2019년,형법범,강력범죄(폭력),약취와 유인,"약취와유인상해,치상,살인,치사",1,0.00,1,100,3,2,1,0,0
359,2019년,형법범,강력범죄(폭력),약취와 유인,인신매매,4,0.01,3,75,24,13,9,2,0
360,2019년,형법범,강력범죄(폭력),체포와 감금,체포와 감금의 소계[입력치],"1,591",3.08,"1,454",91.38906,"2,546","1,927",526,93,0
361,2019년,형법범,강력범죄(폭력),체포와 감금,감금,"1,394",2.70,"1,304",93.54376,"2,250","1,714",484,52,0
362,2019년,형법범,강력범죄(폭력),체포와 감금,감금치사,0,0.00,0,0,0,0,0,0,0
363,2019년,형법범,강력범죄(폭력),체포와 감금,감금치상,89,0.17,85,95.50562,170,143,26,1,0
364,2019년,형법범,강력범죄(폭력),체포와 감금,체포,105,0.20,63,60,117,61,16,40,0
365,2019년,형법범,강력범죄(폭력),체포와 감금,체포치사,0,0.00,0,0,0,0,0,0,0
366,2019년,형법범,강력범죄(폭력),체포와 감금,체포치상,3,0.01,2,66.66667,9,9,0,0,0
